Data,Dia da Semana,Materia,Sala,Plano de Aula
15/09/2022,Quinta,Sistemas Lineares,V106,Previsão da 1ª AVALIAÇÃO: primeira avaliação de SL24CP.
15/09/2022,Quinta,Eletronica A,L106,"Circuitos com diodos. Ceifador, limitador, grampeador e multiplicador de tensão."
16/09/2022,Sexta,Banco de Dados,V104,Prova 1
19/09/2022,Segunda,Variaveis Complexas,M005,Avaliação 1
19/09/2022,Segunda,Variaveis Complexas,M005,Avaliação 1.
19/09/2022,Segunda,Sistemas Lineares,V106,Introdução a análise de Fourier.
19/09/2022,Segunda,Gestão De projeto,V106,Atribuição de estimativa de esforço necessário para a realização de cada atividade do projeto. Introdução à ferramenta de gestão de projetos. Criação de projeto e inclusão de artefatos necessários para o seu gerenciamento. *
19/09/2022,Segunda,Fundamentos Da Teoria,M011,Revisão para a prova P1.
20/09/2022,Terça,Eletronica A,I010,Atividade prática: Laboratório.
21/09/2022,Quarta,Variaveis Complexas,M005,Arcos e Contornos. Integral de Linha.*
21/09/2022,Quarta,Fundamentos Da Teoria,M011,Prova 1.
21/09/2022,Quarta,Banco de Dados,V104,Revisão da prova 1 e introdução à estruturação formal de banco de dados relacionais: Revisão de conceitos da teoria dos conjuntos e noções de Álgebra Relacional.
22/09/2022,Quinta,Sistemas Lineares,V106,Série de Fourier de tempo contínuo.
22/09/2022,Quinta,Eletronica A,L106,Circuitos com diodos.
23/09/2022,Sexta,Banco de Dados,V104,Operadores lógico-relacionais e composição de projeções e seleções em esquemas relacionais de banco de dados.
26/09/2022,Segunda,Variaveis Complexas,M005,Cálculo de algumas integrais de Linha.
26/09/2022,Segunda,Sistemas Lineares,V106,Série de Fourier de tempo contínuo.
26/09/2022,Segunda,Gestão De projeto,V106,Gerenciamento de riscos. Elaboração de plano de riscos. Atividades de planejamento do projeto. Gerenciamento de recursos e aquisições. Elaboração de plano de recursos e aquisições. Atividades de planejamento do projeto.
26/09/2022,Segunda,Fundamentos Da Teoria,M011,Linguagens Livres de Contexto. Gramática Livre de Contexto (GLC). Árvore de Derivação. Ambiguidade em GLC's.
27/09/2022,Terça,Eletronica A,I010,Atividade prática: Laboratório.
28/09/2022,Quarta,Variaveis Complexas,M005,Teorema de Cauchy. Fórmula integral de Cauchy.
28/09/2022,Quarta,Fundamentos Da Teoria,M011,"Exercícios sobre construção de GLC's, árvores de derivação e ambiguidade."
28/09/2022,Quarta,Banco de Dados,V104,Prática - Álgebra Relacional
29/09/2022,Quinta,Sistemas Lineares,V106,Resolução de exercícios.
29/09/2022,Quinta,Eletronica A,L106,Prova 1
29/09/2022,Quinta,Eletronica A,L106,Avaliação: prova.
30/09/2022,Sexta,Banco de Dados,V104,Álgebra de conjuntos e sua relação com a formalização de linguagens para a manipulação de banco de dados.
03/10/2022,Segunda,Variaveis Complexas,M005,Derivação de funções analíticas.*
03/10/2022,Segunda,Sistemas Lineares,V106,Série de Fourier de tempo discreto.
03/10/2022,Segunda,Gestão De projeto,V106,Gerenciamento de comunicações. Elaboração de plano de comunicações. Atividades de planejamento do projeto.
03/10/2022,Segunda,Fundamentos Da Teoria,M011,Simplificação de Gramática Livre de Contexto: 1) Produções vazias* 2) produções da forma A -> B e 3) símbolos inúteis.
04/10/2022,Terça,Eletronica A,I010,Resolução da prova. Atividade prática: exercícios.
05/10/2022,Quarta,Variaveis Complexas,M005,Sequências e séries.
05/10/2022,Quarta,Fundamentos Da Teoria,M011,Exercícios de simplificação de GLC.
05/10/2022,Quarta,Banco de Dados,V104,"Operações de atualização, inserção e exclusão em banco de dados relacionais."
06/10/2022,Quinta,Sistemas Lineares,V106,Série de Fourier de tempo discreto.
06/10/2022,Quinta,Eletronica A,L106,"Transistor bipolar de junção: estrutura, características e configurações."
07/10/2022,Sexta,Banco de Dados,V104,Junções algébricas. Prática de implementação de consultas relacionais em linguagem algébrica.
10/10/2022,Segunda,Variaveis Complexas,M005,Planejamento/Capacitação
